,flux_radius_1,ivar_radius_1,Wavelength_radius_1,flux_radius_2,ivar_radius_2,Wavelength_radius_2,flux_radius_3,ivar_radius_3,Wavelength_radius_3,flux_radius_4,ivar_radius_4,Wavelength_radius_4,flux_radius_5,ivar_radius_5,Wavelength_radius_5,flux_radius_6,ivar_radius_6,Wavelength_radius_6
0,3.817317,3.05736,3355.53868866013,9.750062,2.3749633,3355.617656787563,18.034597,1.9967469,3355.6499956443145,21.688017,1.8380051,3355.524674464396,18.464733,1.7228336,3355.471514240679,9.169949,1.6596421,3355.5711881463535
1,2.4643383,3.1255965,3356.3114189569283,6.146734,2.425781,3356.3904052695384,11.04521,2.0306273,3356.4227515734437,14.350215,1.8576317,3356.2974015339346,15.317482,1.7311052,3356.2442290682147,13.300009,1.6523424,3356.3439259272964
2,1.8059192,3.107401,3357.084327201935,4.860634,2.4197972,3357.16333170391,9.700654,2.0318146,3357.1956854566847,13.526144,1.8633883,3357.0703065509388,14.989852,1.7373446,3357.0171218403966,13.999769,1.6516706,3357.116841658172
3,1.7828016,3.1533751,3357.857413436137,5.124375,2.4350116,3357.9364361316652,10.461836,2.0295057,3357.9687973350246,11.5275345,1.8690166,3357.843389556395,10.393371,1.745423,3357.7901925982105,10.046425,1.6554062,3357.889935379966
4,2.4184518,3.111263,3358.6306777005148,6.2419825,2.414309,3358.709718593786,10.847212,2.0249457,3358.742087249446,11.469505,1.8707219,3358.6166505912834,10.459557,1.7458025,3358.563441382636,9.609821,1.6527507,3358.6632071336603
5,1.2148564,3.1521614,3359.4041200360734,3.5633087,2.4494405,3359.4831791312786,7.8753405,2.0486286,3359.5155552409547,11.379267,1.8734251,3359.390089696609,12.535023,1.7433513,3359.336868234678,10.731077,1.6576264,3359.43665696026
6,3.1996112,3.0947678,3360.1777404838126,7.33169,2.4245996,3360.256817785143,12.332121,2.0440288,3360.2892013505525,14.828651,1.8752455,3360.1637069133712,14.411792,1.7483428,3360.110473195335,11.333917,1.6678544,3360.2102849007656
7,5.097573,3.0145183,3360.951539084757,11.532768,2.371068,3361.030634596405,17.389622,2.0178437,3361.0630256192644,15.493544,1.8810945,3360.937502282594,10.480152,1.7640164,3360.8842563056296,6.7534924,1.6837932,3360.9840909962013
8,3.195959,3.0802202,3361.725515879924,7.637415,2.4037902,3361.804629606084,13.188708,2.0283105,3361.837028088111,13.590847,1.8804088,3361.711475845296,11.67378,1.7568535,3361.658217606581,8.246201,1.679157,3361.758075287586
9,2.5045779,3.141471,3362.499670910357,6.086135,2.4475794,3362.5788028552233,10.627142,2.0554452,3362.611208798135,13.021475,1.884057,3362.4856276425194,15.787913,1.7486899,3362.43235713923,16.942589,1.6685921,3362.532237815963
10,1.0206934,3.235659,3363.274004217094,3.5642862,2.5011168,3363.353154384861,8.148235,2.0840511,3363.3855677903766,10.204412,1.9027518,3363.259957715302,10.844233,1.7729129,3363.2066749446135,11.980357,1.6892456,3363.3065786223706
11,2.4753299,3.1700122,3364.048515841196,6.4216237,2.462697,3364.1276842360617,11.521517,2.0707076,3364.1601051058988,12.671381,1.9125642,3364.034466104705,10.4700985,1.789024,3363.9811710637928,6.51512,1.7086585,3364.0810977478704
12,3.867864,3.119016,3364.8232058237204,9.721528,2.4315603,3364.902392449881,16.340752,2.0506985,3364.934820785759,15.650686,1.9107851,3364.8091528517853,11.291027,1.7915422,3364.7558455378235,8.509644,1.7101918,3364.8557952335195
13,3.4477787,3.132791,3365.598074205747,8.507935,2.4463177,3365.6772790674013,14.115924,2.0667868,3365.709714871039,13.748492,1.9244771,3365.584017997623,10.723936,1.8014951,3365.5306984077847,9.187505,1.715538,3365.630671120399
14,3.4328237,3.1581328,3366.3731210283513,8.365467,2.4660656,3366.452344129699,14.131893,2.0823014,3366.484787402817,14.396692,1.9346863,3366.3590615832936,12.757029,1.8091938,3366.3057297147525,11.150634,1.725915,3366.4057254495847
15,3.015542,3.1894991,3367.148346332633,7.4425807,2.485454,3367.2275876778745,12.066066,2.0992885,3367.2600384221914,9.9127655,1.9566805,3367.134283649895,5.298775,1.8339416,3367.080939499824,3.5466907,1.750739,3367.180958262176
16,2.544775,3.1871188,3367.923750159686,5.5471687,2.5065727,3368.0030097530225,8.104904,2.122969,3368.03546797026,7.505266,1.9592599,3367.9096842385234,6.687926,1.8267194,3367.8563278040933,6.0954685,1.7371186,3367.956369599268
17,3.707756,3.1865072,3368.699332550629,9.042713,2.486982,3368.7786103962626,15.209175,2.1012995,3368.8110760881414,14.848244,1.9562464,3368.685263390296,13.7617035,1.8278121,3368.631894668678,15.501577,1.7287802,3368.7319595019794
18,2.8680005,3.2470195,3369.4750935465763,7.4975786,2.5262284,3369.55438964871,13.838287,2.1219597,3369.5868628169515,16.175184,1.9573369,3369.461021146326,16.904348,1.8250628,3369.407640134691,17.594004,1.7314663,3369.5077280114247
19,1.9494278,3.3037934,3370.251033188664,5.014105,2.5744052,3370.330347551502,9.699301,2.1580474,3370.362828197828,12.295284,1.9812359,3370.2369575477505,13.8027,1.8450619,3370.1835642432684,12.984026,1.7553153,3370.283675168741
20,2.2702105,3.3292472,3371.0271515180248,5.7072086,2.5829647,3371.106484145773,10.14867,2.1588018,3371.1389722719045,10.801418,1.9846985,3371.013072635702,11.894623,1.8511105,3370.9596670355413,13.1394825,1.7592396,3371.0598010150607
21,1.1761646,3.3970158,3371.8034485758144,4.0673494,2.6169171,3371.8827994726785,9.915789,2.17084,3371.915295080339,13.804639,1.9771193,3371.789366451336,14.210335,1.8538412,3371.735948552666,14.011572,1.7679394,3371.8361055915407
22,2.7149186,3.3224463,3372.579924403188,6.8549476,2.5816925,3372.659293573375,12.270782,2.1601129,3372.6917966642873,13.310776,1.9916158,3372.5658390358076,11.290861,1.869662,3372.512408835795,9.188188,1.7781278,3372.612588939336
23,2.2676113,3.3378131,3373.356579041311,5.742636,2.5933492,3373.4359664890285,11.104398,2.1639142,3373.4684770649155,13.220404,1.9883744,3373.3424904302806,11.485456,1.8621769,3373.289047926094,5.832591,1.7843213,3373.3892510996116
24,3.861062,3.2436793,3374.133412531366,9.341209,2.5329945,3374.212818260824,16.098076,2.1393418,3374.24533632341,17.951054,1.9841853,3374.1193206759403,15.852789,1.8556645,3374.0658658647453,10.118891,1.7723255,3374.166092113553
25,4.2012863,3.2415712,3374.910424914535,10.015282,2.5219157,3374.9898489299426,16.101479,2.1319313,3375.0223744809514,15.761689,1.9848825,3374.8963298139656,14.545351,1.8580481,3374.842862692928,14.531588,1.7715822,3374.9431120223394
26,3.7009254,3.2880976,3375.6876162320195,9.71048,2.546064,3375.7670585375886,18.991383,2.1298118,3375.7995915787446,21.739796,1.9695015,3375.6735178855597,18.68317,1.8523009,3375.6200384518456,14.352705,1.77817,3375.7203108671756
