Spectra,Z
8240-9102,0.143018
8996-12701,0.0272582
11872-12705,0.06646762
8241-9101,0.0590158
9034-9102,0.0654649
12068-6102,0.05659264
8144-6104,0.0807752
9024-12701,0.088341
8328-6102,0.065442
8259-12701,0.0196167
8158-6103,0.0659973
10502-6103,0.0267448
11953-6104,0.053630747
12684-3702,0.09116939
11868-9101,0.03443762
9042-9101,0.0721096
11984-9101,0.04612039
11968-6104,0.047518775
9094-6101,0.0315587
8263-9102,0.0482156
8600-12702,0.0605524
9182-9101,0.0665685
9497-6104,0.0921547
11750-6104,0.05767491
11980-9101,0.056954246
